date,ticker,name,market,close,eps_2026_like,eps_nexty,per_2026_like,per_headline_forward,eps_source,eps_fetched_at,data_source
2026-01-02,000660,SK hynix,KR,677000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-05,000660,SK hynix,KR,696000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-06,000660,SK hynix,KR,726000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-07,000660,SK hynix,KR,742000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-08,000660,SK hynix,KR,756000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-09,000660,SK hynix,KR,744000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-12,000660,SK hynix,KR,749000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-13,000660,SK hynix,KR,738000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-14,000660,SK hynix,KR,742000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-15,000660,SK hynix,KR,749000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-16,000660,SK hynix,KR,756000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-19,000660,SK hynix,KR,764000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-20,000660,SK hynix,KR,743000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-21,000660,SK hynix,KR,740000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-22,000660,SK hynix,KR,755000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-23,000660,SK hynix,KR,767000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-26,000660,SK hynix,KR,736000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-27,000660,SK hynix,KR,800000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-28,000660,SK hynix,KR,841000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-29,000660,SK hynix,KR,861000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-30,000660,SK hynix,KR,909000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-02,000660,SK hynix,KR,830000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-03,000660,SK hynix,KR,907000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-04,000660,SK hynix,KR,900000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-05,000660,SK hynix,KR,842000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-06,000660,SK hynix,KR,839000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-09,000660,SK hynix,KR,887000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-10,000660,SK hynix,KR,876000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-11,000660,SK hynix,KR,860000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-12,000660,SK hynix,KR,888000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-13,000660,SK hynix,KR,880000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-19,000660,SK hynix,KR,894000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-20,000660,SK hynix,KR,949000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-23,000660,SK hynix,KR,951000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-24,000660,SK hynix,KR,1005000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-25,000660,SK hynix,KR,1018000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-26,000660,SK hynix,KR,1099000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-27,000660,SK hynix,KR,1061000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-03,000660,SK hynix,KR,939000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-04,000660,SK hynix,KR,849000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-05,000660,SK hynix,KR,941000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-06,000660,SK hynix,KR,924000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-09,000660,SK hynix,KR,836000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-10,000660,SK hynix,KR,938000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-11,000660,SK hynix,KR,955000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-12,000660,SK hynix,KR,930000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-13,000660,SK hynix,KR,910000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-16,000660,SK hynix,KR,974000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-17,000660,SK hynix,KR,970000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-18,000660,SK hynix,KR,1056000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-19,000660,SK hynix,KR,1013000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-20,000660,SK hynix,KR,1007000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-23,000660,SK hynix,KR,933000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-24,000660,SK hynix,KR,986000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-25,000660,SK hynix,KR,995000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-26,000660,SK hynix,KR,933000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-27,000660,SK hynix,KR,922000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-30,000660,SK hynix,KR,873000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-31,000660,SK hynix,KR,807000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-01,000660,SK hynix,KR,893000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-02,000660,SK hynix,KR,830000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-03,000660,SK hynix,KR,876000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-06,000660,SK hynix,KR,886000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-07,000660,SK hynix,KR,916000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-08,000660,SK hynix,KR,1033000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-09,000660,SK hynix,KR,998000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-10,000660,SK hynix,KR,1027000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-13,000660,SK hynix,KR,1040000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-14,000660,SK hynix,KR,1103000.0,220159.0,,5.010015488805817,5.010015488805817,naver,2026-04-14T15:59:55,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-15,000660,SK hynix,KR,1136000.0,220159.0,,5.15990715800853,5.15990715800853,naver,2026-04-15T16:02:06,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-16,000660,SK hynix,KR,1155000.0,224066.0,,5.154731195272821,5.154731195272821,naver,2026-04-16T16:02:47,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-17,000660,SK hynix,KR,1128000.0,224066.0,,5.034230985513197,5.034230985513197,naver,2026-04-17T16:04:27,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-20,000660,SK hynix,KR,1166000.0,224066.0,,5.203823873323039,5.203823873323039,naver,2026-04-20T16:03:49,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-21,000660,SK hynix,KR,1224000.0,229302.0,,5.337938613705942,5.337938613705942,naver,2026-04-21T16:04:02,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-22,000660,SK hynix,KR,1223000.0,236494.0,,5.171378555058479,5.171378555058479,naver,2026-04-22T16:04:03,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-23,000660,SK hynix,KR,1225000.0,236494.0,,5.179835429228649,5.179835429228649,naver,2026-04-23T16:16:19,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-24,000660,SK hynix,KR,1222000.0,237486.0,,5.145566475497503,5.145566475497503,naver,2026-04-24T16:24:24,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-27,000660,SK hynix,KR,1292000.0,276486.0,,4.672930998314562,4.672930998314562,naver,2026-04-27T16:14:13,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-28,000660,SK hynix,KR,1300000.0,279612.0,,4.649299743930876,4.649299743930876,naver,2026-04-28T16:16:33,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-29,000660,SK hynix,KR,1293000.0,279612.0,,4.624265053002017,4.624265053002017,naver,2026-04-28T16:16:33,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-30,000660,SK hynix,KR,1286000.0,279612.0,,4.5992303620731585,4.5992303620731585,naver,2026-04-28T16:16:33,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-04,000660,SK hynix,KR,1447000.0,285474.0,,5.068762829539643,5.068762829539643,naver,2026-05-04T16:15:25,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-06,000660,SK hynix,KR,1601000.0,286170.0,,5.594576650242862,5.594576650242862,naver,2026-05-06T16:17:42,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-07,000660,SK hynix,KR,1654000.0,286170.0,,5.779781248907992,5.779781248907992,naver,2026-05-07T16:19:47,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-08,000660,SK hynix,KR,1686000.0,287185.0,,5.870780159130874,5.870780159130874,naver,2026-05-10T21:57:56,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-11,000660,SK hynix,KR,1880000.0,287185.0,,6.546302905792434,6.546302905792434,naver,2026-05-11T16:24:24,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-12,000660,SK hynix,KR,1835000.0,290404.0,,6.318783487830746,6.318783487830746,naver,2026-05-12T16:24:26,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-13,000660,SK hynix,KR,1976000.0,290980.0,,6.790844731596673,6.790844731596673,naver,2026-05-13T16:24:24,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-14,000660,SK hynix,KR,1970000.0,291777.0,,6.751731630663143,6.751731630663143,naver,2026-05-14T16:24:24,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-15,000660,SK hynix,KR,1819000.0,291777.0,,6.2342131148102835,6.2342131148102835,naver,2026-05-15T16:24:26,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-18,000660,SK hynix,KR,1840000.0,292970.0,,6.280506536505444,6.280506536505444,naver,2026-05-18T16:24:25,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-19,000660,SK hynix,KR,1745000.0,295485.0,,5.905545120733709,5.905545120733709,naver,2026-05-19T16:24:27,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-20,000660,SK hynix,KR,1745000.0,295485.0,,5.905545120733709,5.905545120733709,naver,2026-05-20T16:24:25,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-21,000660,SK hynix,KR,1940000.0,295733.0,,6.559971325486165,6.559971325486165,naver,2026-05-21T16:24:23,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-22,000660,SK hynix,KR,1941000.0,296287.0,,6.551080540151947,6.551080540151947,naver,2026-05-25T16:24:28,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-26,000660,SK hynix,KR,2052000.0,296287.0,,6.925717294380111,6.925717294380111,naver,2026-05-26T16:24:24,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-27,000660,SK hynix,KR,2243000.0,296550.0,,7.563648625864104,7.563648625864104,naver,2026-05-27T16:24:27,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-28,000660,SK hynix,KR,2289000.0,298475.0,,7.668984002010219,7.668984002010219,naver,2026-05-28T16:24:24,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-29,000660,SK hynix,KR,2333000.0,298495.0,,7.815876312836061,7.815876312836061,naver,2026-05-29T16:24:26,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-06-01,000660,SK hynix,KR,2363000.0,298954.0,,7.904226068224543,7.904226068224543,naver,2026-06-01T16:24:26,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-02,005930,Samsung Electronics,KR,128500.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-05,005930,Samsung Electronics,KR,138100.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-06,005930,Samsung Electronics,KR,138900.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-07,005930,Samsung Electronics,KR,141000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-08,005930,Samsung Electronics,KR,138800.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-09,005930,Samsung Electronics,KR,139000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-12,005930,Samsung Electronics,KR,138800.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-13,005930,Samsung Electronics,KR,137600.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-14,005930,Samsung Electronics,KR,140300.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-15,005930,Samsung Electronics,KR,143900.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-16,005930,Samsung Electronics,KR,148900.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-19,005930,Samsung Electronics,KR,149300.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-20,005930,Samsung Electronics,KR,145200.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-21,005930,Samsung Electronics,KR,149500.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-22,005930,Samsung Electronics,KR,152300.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
